Customer,Order ID,Product,,Units Sold,Date,Rev,Our cost,,Customer ID,Total Revenue,# of orders
3,397386,White Chocolate Macadamia Nut,,3997.5,43831,23985,10993.125,,1," $5,21,251 ",92
5,613058,White Chocolate Macadamia Nut,,3864,43922,23184,10626,,2," $9,03,407 ",132
4,766402,White Chocolate Macadamia Nut,,3850.5,43922,23103,10588.875,,3," $14,31,191 ",206
4,710702,White Chocolate Macadamia Nut,,3793.5,44013,22761,10432.125,,4," $11,08,643 ",156
5,283378,Chocolate Chip,,4492.5,43922,22462.5,8985,,5," $7,25,759 ",114
3,239419,Chocolate Chip,,4251,43831,21255,8502,,,,
4,739483,Oatmeal Raisin,,4219.5,43922,21097.5,9282.9,,,,
3,253399,Chocolate Chip,,4026,44013,20130,8052,,,,
4,361305,Chocolate Chip,,3945,43831,19725,7890,,,,
,,,,,,,,,,,
2,603195,Chocolate Chip,,3801,43922,19005,7602,,,,
2,643111,Chocolate Chip,,3675,43922,18375,7350,,,,
4,861720,White Chocolate Macadamia Nut,,2966,43739,17796,8156.5,,,,
3,272552,Oatmeal Raisin,,3520.5,43922,17602.5,7745.1,,,,
4,459019,Chocolate Chip,,3513,44013,17565,7026,,,,
,,,,,,,,,,,
2,628402,Chocolate Chip,,3495,43831,17475,6990,,,,
3,567117,White Chocolate Macadamia Nut,,2907,43983,17442,7994.25,,,,
2,426268,White Chocolate Macadamia Nut,,2877,44105,17262,7911.75,,,,
2,824253,Chocolate Chip,,3450,44013,17250,6900,,,,
5,165918,White Chocolate Macadamia Nut,,2861,43831,17166,7867.75,,,,
3,261362,Oatmeal Raisin,,3421.5,44013,17107.5,7527.3,,,,
5,864063,White Chocolate Macadamia Nut,,2832,44044,16992,7788,,,,
4,765655,Snickerdoodle,,4243.5,43922,16974,6365.25,,,,
3,853295,White Chocolate Macadamia Nut,,2826,43952,16956,7771.5,,,,
1,685153,White Chocolate Macadamia Nut,,2821,44044,16926,7757.75,,,,
1,494115,White Chocolate Macadamia Nut,,2805,43709,16830,7713.75,,,,
3,218006,White Chocolate Macadamia Nut,,2755,43862,16530,7576.25,,,,
2,104326,Oatmeal Raisin,,3199.5,44013,15997.5,7038.9,,,,
4,632477,White Chocolate Macadamia Nut,,2665,44136,15990,7328.75,,,,
4,558048,White Chocolate Macadamia Nut,,2646,43709,15876,7276.5,,,,
3,382237,Oatmeal Raisin,,3165,43831,15825,6963,,,,
4,488771,White Chocolate Macadamia Nut,,2632,43983,15792,7238,,,,
2,507202,White Chocolate Macadamia Nut,,2628,43922,15768,7227,,,,
5,814769,White Chocolate Macadamia Nut,,2605,43770,15630,7163.75,,,,
4,208456,White Chocolate Macadamia Nut,,2574,43770,15444,7078.5,,,,
2,752353,White Chocolate Macadamia Nut,,2536,43770,15216,6974,,,,
3,215670,Oatmeal Raisin,,2993,43891,14965,6584.6,,,,
3,788375,Chocolate Chip,,2993,44075,14965,5986,,,,
2,440377,Chocolate Chip,,2992,43739,14960,5984,,,,
3,508782,Chocolate Chip,,2992,43891,14960,5984,,,,
3,288851,Chocolate Chip,,2988,44013,14940,5976,,,,
3,253215,Oatmeal Raisin,,2966,43739,14830,6525.2,,,,
4,233911,White Chocolate Macadamia Nut,,2460,44013,14760,6765,,,,
5,854455,Chocolate Chip,,2931,43709,14655,5862,,,,
4,727940,White Chocolate Macadamia Nut,,2438,43800,14628,6704.5,,,,
3,549329,Chocolate Chip,,2918,43952,14590,5836,,,,
4,673372,White Chocolate Macadamia Nut,,2431,44166,14586,6685.25,,,,
3,898886,Chocolate Chip,,2914,44105,14570,5828,,,,
5,841420,Oatmeal Raisin,,2914,44105,14570,6410.8,,,,
3,755930,Oatmeal Raisin,,2907,43983,14535,6395.4,,,,
4,160202,Chocolate Chip,,2905,44136,14525,5810,,,,
3,271981,Oatmeal Raisin,,2876,44075,14380,6327.2,,,,
5,177011,Chocolate Chip,,2852,44166,14260,5704,,,,
4,251968,Chocolate Chip,,2851,43952,14255,5702,,,,
2,374115,Oatmeal Raisin,,2844,43952,14220,6256.8,,,,
4,507642,White Chocolate Macadamia Nut,,2338,43983,14028,6429.5,,,,
4,307196,Chocolate Chip,,2797,44166,13985,5594,,,,
5,867252,Chocolate Chip,,2763,43770,13815,5526,,,,
4,410583,Oatmeal Raisin,,2761,43709,13805,6074.2,,,,
3,876370,Snickerdoodle,,3445.5,43922,13782,5168.25,,,,
3,378254,White Chocolate Macadamia Nut,,2294,43739,13764,6308.5,,,,
3,736328,Oatmeal Raisin,,2750,43862,13750,6050,,,,
4,723364,Oatmeal Raisin,,2734,44105,13670,6014.8,,,,
2,306694,Chocolate Chip,,2729,44166,13645,5458,,,,
2,209116,Chocolate Chip,,2708,43862,13540,5416,,,,
3,121808,Chocolate Chip,,2696,44044,13480,5392,,,,
5,335658,Chocolate Chip,,2689,44105,13445,5378,,,,
4,444225,Chocolate Chip,,2663,44166,13315,5326,,,,
3,388978,Chocolate Chip,,2641,43862,13205,5282,,,,
2,123693,Chocolate Chip,,2632,43983,13160,5264,,,,
4,424398,Oatmeal Raisin,,2629,43831,13145,5783.8,,,,
5,587035,Chocolate Chip,,2620,44075,13100,5240,,,,
3,375461,White Chocolate Macadamia Nut,,2177,44105,13062,5986.75,,,,
1,806592,White Chocolate Macadamia Nut,,2161,43891,12966,5942.75,,,,
2,431261,White Chocolate Macadamia Nut,,2145,43739,12870,5898.75,,,,
4,702523,Oatmeal Raisin,,2574,44044,12870,5662.8,,,,
2,334678,Chocolate Chip,,2565,43831,12825,5130,,,,
3,408804,Chocolate Chip,,2559,44044,12795,5118,,,,
